trayectoria,S_T
1316,1442.2
1317,1533.59
1318,1129.55
1319,861.152
1320,1109.38
1321,809.322
1322,1232.8
1323,1114.46
1324,955.219
1325,936.352
1326,1127.93
1327,1209.97
1328,1109.76
1329,1308.6
1330,1221.03
1331,983.492
1332,1087.79
1333,925.778
1334,1079.89
1335,769.763
1336,1213.76
1337,1098.39
1338,1279.81
1339,1174.65
1340,982.956
1341,920.891
1342,1355.78
1343,1120.29
1344,811.808
1345,1074.43
1346,1197.06
1347,1058.23
1348,804.014
1349,984.074
1350,1089.38
1351,931.836
1352,894.906
1353,1121.96
1354,1170.69
1355,1038.12
1356,1049.9
1357,804.294
1358,1349.33
1359,806.573
1360,1185.01
1361,1006.02
1362,972.772
1363,1094.68
1364,1242.04
1365,799.463
1366,842.681
1367,1007.56
1368,1009.55
1369,1417.02
1370,882.772
1371,1126.67
1372,1061.13
1373,1059.26
1374,1096.42
1375,843.357
1376,1163.82
1377,1242.78
1378,1266.12
1379,1191.03
1380,806.812
1381,1357.36
1382,851.278
1383,1332.81
1384,917.925
1385,1144.69
1386,955.207
1387,979.496
1388,1360.23
1389,954.056
1390,1088.45
1391,1052.88
1392,1528.94
1393,951.442
1394,1060.14
1395,879.445
1396,888.039
1397,984.291
1398,1267.59
1399,986.718
1400,995.672
1401,1241.91
1402,969.134
1403,1525.7
1404,1131.89
1405,752.949
1406,1259.58
1407,1128.78
1408,1055.3
1409,1040.81
1410,1335
1411,798.382
1412,1232.71
1413,833.036
1414,940.035
1415,700.699
1416,1110.45
1417,1561.83
1418,868.703
1419,1168.04
1420,744.554
1421,1480.25
1422,1148.62
1423,1142.96
1424,1714.7
1425,955.046
1426,1032.57
1427,864.072
1428,1025.33
1429,635.227
1430,1055.62
1431,573.303
1432,825.626
1433,1156.34
1434,1297.09
1435,1024.04
1436,917.345
1437,911.513
1438,1354.66
1439,738.163
1440,1055.38
1441,1110.29
1442,1261.5
1443,554.834
1444,1212.94
1445,907.305
1446,1094.47
1447,1358.43
1448,879.382
1449,920.013
1450,1252.69
1451,1337.17
1452,1250.8
1453,1586.47
1454,867.123
1455,1330.92
1456,864.951
1457,1009.35
1458,846.29
1459,811.52
1460,1244.61
1461,1030.9
1462,924.499
1463,1191.46
1464,851.01
1465,987.465
1466,1167.18
1467,914.873
1468,722.815
1469,872.229
1470,745.923
1471,1236.02
1472,1164.53
1473,1335.54
1474,1018.64
1475,1210.08
1476,1385.68
1477,1036.55
1478,1303.75
1479,908.041
1480,1075.45
1481,536.707
1482,798.531
1483,954.621
1484,917.749
1485,888.987
1486,1573.12
1487,753.311
1488,1226.53
1489,951.29
1490,904.859
1491,1151.91
1492,1315.59
1493,1087.12
1494,950.614
1495,1206.98
1496,1102.23
1497,1421.15
1498,1004.31
1499,838.989
1500,891.074
1501,965.678
1502,1109.51
1503,1168.99
1504,1135.09
1505,1048.83
1506,1172.84
1507,1208.2
1508,857.699
1509,1072.97
1510,1299.52
1511,1209.83
1512,866.535
1513,1051.95
1514,1242.78
1515,833.639
1516,666.579
1517,1205.75
1518,780.953
1519,865.975
1520,1045.9
1521,1111.72
1522,865.526
1523,681.212
1524,1351.79
1525,1157.38
1526,986.933
1527,1218.7
1528,1153.61
1529,913.762
1530,867.573
1531,1012.44
1532,1120.79
1533,1044.16
1534,948.381
1535,1054.09
1536,943.891
1537,895.189
1538,956.579
1539,1339.06
1540,1042.84
1541,1142.59
1542,964.057
1543,1432.39
1544,821.971
1545,657.908
1546,737.092
1547,898.18
1548,997.397
1549,756.212
1550,788.868
1551,923.766
1552,971.219
1553,1002.67
1554,1403.98
1555,1196.77
1556,1330.14
1557,1367.19
1558,1329.15
1559,1467.33
1560,986.466
1561,1122.49
1562,1024.7
1563,910.151
1564,671.186
1565,1070.91
1566,769.661
1567,1408.08
1568,1214.73
1569,1225.09
1570,937.45
1571,1193.63
1572,1422.16
1573,1069.7
1574,1125.6
1575,1019.09
1576,1470.25
1577,1304.27
1578,776.814
1579,1181.47
1580,925.105
1581,1475.12
1582,781.023
1583,1143.6
1584,989.339
1585,1213.91
1586,823.396
1587,809.257
1588,958.035
1589,597.789
1590,1195.38
1591,1301.89
1592,962.522
1593,1090.36
1594,1024.46
1595,830.704
1596,1160.78
1597,1703.58
1598,1070.79
1599,845.355
1600,977.976
1601,994.596
1602,1157.96
1603,1027.14
1604,1036.99
1605,790.63
1606,1321.95
1607,829.032
1608,1204.34
1609,1123.04
1610,828.444
1611,970.08
1612,850.651
1613,1144.54
1614,974.275
1615,902.106
1616,1524.99
1617,1100.75
1618,741.836
1619,1048.6
1620,1215.94
1621,1063.01
1622,932.738
1623,1010.98
1624,1140.9
1625,1228.98
1626,753.171
1627,1020
1628,818.302
1629,924.155
1630,983.445
1631,1135.76
1632,1082.54
1633,1395.79
1634,909.255
1635,1592.73
1636,836.369
1637,1353.11
1638,947.268
1639,1449.54
1640,844.619
1641,1142.93
1642,1473.44
1643,1532.68
1644,1037.79
1645,1047.54
1646,961.192
1647,825.742
1648,1055.06
1649,860.075
1650,1382.91
1651,974.591
1652,752.829
1653,595.764
1654,1592.27
1655,1048.22
1656,1170.47
1657,1938.2
1658,977.896
1659,1014.05
1660,957.722
1661,1018.55
1662,1307.8
1663,873.09
1664,1317.37
1665,874.425
1666,1222.68
1667,1273.32
1668,1010.72
1669,1109.49
1670,1236.3
1671,876.271
1672,1421.37
1673,1587.91
1674,1196.25
1675,1088.75
1676,1096.98
1677,883.955
1678,931.564
1679,989.821
1680,992.359
1681,1130.7
1682,1160.79
1683,962.766
1684,1294.9
1685,1216.75
1686,1727.88
1687,724.38
1688,1194.15
1689,950.99
1690,1308.19
1691,741.722
1692,1197.06
1693,1535.99
1694,1083.27
1695,1036.62
1696,995.041
1697,1000.33
1698,1035.67
1699,809.096
1700,889.428
1701,954.169
1702,978.477
1703,897.709
1704,1274.41
1705,874.076
1706,1282.28
1707,1258.78
1708,884.707
1709,1265.88
1710,788.554
1711,1142.98
1712,913.785
1713,933.476
1714,730.051
1715,956.728
1716,1452.86
1717,1087.08
1718,1119.59
1719,1250.04
1720,1137.69
1721,835.483
1722,952.725
1723,982.021
1724,1223.1
1725,1152.72
1726,838.165
1727,1101.55
1728,1300.57
1729,899.762
1730,1234.29
1731,1090.66
1732,1200.11
1733,1107.45
1734,819.63
1735,1036.7
1736,912.787
1737,878.031
1738,1227.08
1739,1340
1740,992.326
1741,699.254
1742,944.783
1743,1041.94
1744,1008.95
1745,725.007
1746,1025.2
1747,1173.5
1748,1237.03
1749,1078.16
1750,743.354
1751,850.101
1752,1110.72
1753,791.181
1754,910.64
1755,1088.51
1756,1087.63
1757,863.026
1758,877.987
1759,917.509
1760,1038.19
1761,1253.01
1762,661.847
1763,864.367
1764,1361.14
1765,1032.76
1766,1250.04
1767,1258.2
1768,1159.67
1769,1435.83
1770,838.145
1771,1130.72
1772,1109.51
1773,1101.28
1774,768.722
1775,1060.09
1776,1196.55
1777,1094.11
1778,957.436
1779,1314.18
1780,800.452
1781,1088.16
1782,1339.27
1783,953.121
1784,1039.47
1785,763.797
1786,831.094
1787,977.56
1788,702.092
1789,808.57
1790,1093.39
1791,1014.19
1792,838.901
1793,1199.76
1794,1212.7
1795,1067.65
1796,1236.1
1797,1053.89
1798,910.859
1799,1185.13
1800,1072.08
1801,1031.73
1802,1181.92
1803,1035.08
1804,937.345
1805,1264.68
1806,1111.82
1807,1005.26
1808,1038.15
1809,933.352
1810,1232.17
1811,1028.89
1812,854.629
1813,578.169
1814,1019.75
1815,1168.64
1816,878.176
1817,1425.35
1818,1084.03
1819,612.029
